list_name,name,label::english,governorate,district,subdistrict,label::arabic
district,YE1823,Al Hali,YE18,,,الحالي
district,YE1824,Zabid,YE18,,,زبيد
district,YE1825,Al Jarrahi,YE18,,,الجراحي
district,YE1826,At Tuhayta,YE18,,,التحيتا
district,YE1901,Rumah,YE19,,,رماه
district,YE1902,Thamud,YE19,,,ثمود
district,YE1903,Al Qaff,YE19,,,القف
district,YE1904,Zamakh wa Manwokh,YE19,,,زمخ ومنوخ
district,YE1905,Hajar As Say'ar,YE19,,,حجر الصيعر
district,YE1906,Al Abr,YE19,,,العبر
district,YE1907,Al Qatn,YE19,,,القطن
district,YE1908,Shibam,YE19,,,شبام
district,YE1909,Sah,YE19,,,ساه
district,YE1910,Sayun,YE19,,,سيئون
district,YE1911,Tarim,YE19,,,تريم
district,YE1912,As Sawm,YE19,,,السوم
district,YE1913,Ar Raydah wa Qussay'ar,YE19,,,الريدة وقصيعر
district,YE1914,Ad Dis,YE19,,,الديس
district,YE1915,Ash Shihr,YE19,,,الشحر
district,YE1916,Ghayl bin Yamin,YE19,,,غيل بن يمين
district,YE1917,Ghayl Bawazir,YE19,,,غيل باوزير
district,YE1918,Daw'an,YE19,,,دوعن
district,YE1919,Wadi Al Ayn,YE19,,,وادي العين
district,YE1920,Rakhyah,YE19,,,رخيه
district,YE1921,Amd,YE19,,,عمد
district,YE1922,Ad Dulay'ah,YE19,,,الضليعه
district,YE1923,Yab'uth,YE19,,,يبعث
district,YE1924,Hajar,YE19,,,حجر
district,YE1925,Brum Mayf'ah,YE19,,,بروم ميفع
district,YE1926,Al Mukalla,YE19,,,المكلا
district,YE1927,Al Mukalla City,YE19,,,مدينة المكلا
district,YE1928,Haridah,YE19,,,حريضه
district,YE2001,Al Hada,YE20,,,الحداء
district,YE2002,Jahran,YE20,,,جهران
district,YE2003,Jabal Ash sharq,YE20,,,جبل الشرق
district,YE2004,Maghrib Ans,YE20,,,مغرب عنس
district,YE2005,Otmah,YE20,,,عتمه
district,YE2006,Wusab Al Aali,YE20,,,وصاب العالي
district,YE2007,Wusab As Safil,YE20,,,وصاب السافل
district,YE2008,Dhamar City,YE20,,,مدينة ذمار
district,YE2009,Mayfa'at Ans,YE20,,,ميفعة عنس
district,YE2010,Ans,YE20,,,عنس
district,YE2011,Dawran Anis,YE20,,,ضوران انس
district,YE2012,Al Manar,YE20,,,المنار
district,YE2101,Dahr,YE21,,,دهر
district,YE2102,At Talh,YE21,,,الطلح
district,YE2103,Jardan,YE21,,,جردان
district,YE2104,Arma'a,YE21,,,عرماء
district,YE2105,Osaylan,YE21,,,عسيلان
district,YE2106,Ayn,YE21,,,عين
district,YE2107,Bayhan,YE21,,,بيحان
district,YE2108,Markhah Al Olya,YE21,,,مرخة العليا
district,YE2109,Markhah As Sufla,YE21,,,مرخة السفلى
district,YE2110,Nisab,YE21,,,نصاب
district,YE2111,Hatib,YE21,,,حطيب
district,YE2112,As Sa'id,YE21,,,الصعيد
district,YE2113,Ataq,YE21,,,عتق
district,YE2114,Habban,YE21,,,حبان
district,YE2115,Ar Rawdah,YE21,,,الروضه
district,YE2116,Mayfa'ah,YE21,,,ميفعه
district,YE2117,Radum,YE21,,,رضوم
district,YE2201,Baqim,YE22,,,باقم
district,YE2202,Qatabir,YE22,,,قطابر
district,YE2203,Monabbih,YE22,,,منبه
district,YE2204,Ghamr,YE22,,,غمر
district,YE2205,Razih,YE22,,,رازح
district,YE2206,Shada'a,YE22,,,شداء
district,YE2207,Adh Dhahir,YE22,,,الظاهر
district,YE2208,Haydan,YE22,,,حيدان
district,YE2209,Saqin,YE22,,,ساقين
district,YE2210,Majz,YE22,,,مجز
district,YE2211,Sahar,YE22,,,سحار
district,YE2212,As Safra,YE22,,,الصفراء
district,YE2213,Al Hashwah,YE22,,,الحشوه
district,YE2214,Kitaf wa Al Boqa',YE22,,,كتاف والبقع
district,YE2215,Sa'dah,YE22,,,صعده
district,YE2301,Hamdan,YE23,,,همدان
district,YE2302,Arhab,YE23,,,ارحب
district,YE2303,Nihm,YE23,,,نهم
district,YE2304,Bani Hushaysh,YE23,,,بني حشيش
district,YE2305,Sanhan wa Bani Bahlul,YE23,,,سنحان وبني بهلول
district,YE2306,Bilad Ar Rus,YE23,,,بلاد الروس
district,YE2307,Bani Matar,YE23,,,بني مطر
district,YE2308,Al Haymah Ad Dakhiliyah,YE23,,,الحيمة الداخليه
district,YE2309,Al Haymah Al Kharijiyah,YE23,,,الحيمة الخارجيه
district,YE2310,Manakhah,YE23,,,مناخه
district,YE2311,Sa'fan,YE23,,,صعفان
district,YE2312,Khawlan,YE23,,,خولان
district,YE2313,At Tyal,YE23,,,الطيال
district,YE2314,Bani Dabyan,YE23,,,بني ضبيان
district,YE2315,Al Hissn,YE23,,,الحصن
district,YE2316,Jihanah,YE23,,,جحانه
district,YE2401,Dar Sa'd,YE24,,,دار سعد
district,YE2402,Ash Shaykh Othman,YE24,,,الشيخ عثمان
district,YE2403,Al Mansurah,YE24,,,المنصوره
district,YE2404,Al Burayqah,YE24,,,البريقه
district,YE2405,At Tawahi,YE24,,,التواهي
district,YE2406,Al Mu'alla,YE24,,,المعلا
district,YE2407,Kritar - Sirah,YE24,,,صيره
district,YE2408,Khur Maksar,YE24,,,خور مكسر
district,YE2501,Al Had,YE25,,,الحد
district,YE2502,Yafi',YE25,,,يافع
district,YE2503,Al Maflahi,YE25,,,المفلحي
district,YE2504,Yahr,YE25,,,يهر
district,YE2505,Habil Jabr,YE25,,,حبيل جبر
district,YE2506,Halmin,YE25,,,حالمين
district,YE2507,Radfan,YE25,,,ردفان
district,YE2508,Al Malah,YE25,,,الملاح
district,YE2509,Al Musaymir,YE25,,,المسيمير
district,YE2510,Al Qubaytah,YE25,,,القبيطه
district,YE2511,Tur Al Bahah,YE25,,,طور الباحه
district,YE2512,Al Maqatirah,YE25,,,المقاطره
district,YE2513,Al Madaribah Wa Al Aarah,YE25,,,المضاربة و العاره
district,YE2514,Al Hawtah,YE25,,,الحوطه
district,YE2515,Tuban,YE25,,,تبن
district,YE2601,Majzar,YE26,,,مجزر
district,YE2602,Raghwan,YE26,,,رغوان
district,YE2603,Madghal Al Jid'an,YE26,,,مدغل الجدعان
district,YE2604,Harib Al Qaramish,YE26,,,حريب القرامش
district,YE2605,Bidbadah,YE26,,,بدبده
district,YE2606,Sirwah,YE26,,,صرواح
district,YE2607,Al Jubah,YE26,,,الجوبه
district,YE2608,Rahabah,YE26,,,رحبه
district,YE2609,Harib,YE26,,,حريب
district,YE2610,Mahliyah,YE26,,,ماهليه
district,YE2611,Al Abdiyah,YE26,,,العبديه
district,YE2612,Ma'rib City,YE26,,,مدينة مارب
district,YE2613,Ma'rib,YE26,,,مارب
district,YE2614,Jabal Murad,YE26,,,جبل مراد
district,YE2701,Shibam Kawkaban,YE27,,,شبام كوكبان
district,YE2702,At Tawilah,YE27,,,الطويله
district,YE2703,Ar Rujum,YE27,,,الرجم
district,YE2704,Al Khabt,YE27,,,الخبت
district,YE2705,Melhan,YE27,,,ملحان
district,YE2706,Hufash,YE27,,,حفاش
district,YE2707,Bani Sa'd,YE27,,,بني سعد
district,YE2708,Al Mahwit City,YE27,,,مدينة المحويت
district,YE2709,Al Mahwit,YE27,,,المحويت
district,YE2801,Shahin,YE28,,,شحن
district,YE2802,Hat,YE28,,,حات
district,YE2803,Hawf,YE28,,,حوف
district,YE2804,Al Ghaydhah,YE28,,,الغيظه
district,YE2805,Man'ar,YE28,,,منعر
district,YE2806,Al Masilah,YE28,,,المسيله
district,YE2807,Sayhut,YE28,,,سيحوت
district,YE2808,Qishn,YE28,,,قشن
district,YE2809,Haswin,YE28,,,حصوين
district,YE2901,Harf Sufyan,YE29,,,حرف سفيان
district,YE2902,Huth,YE29,,,حوث
district,YE2903,Al Ashah,YE29,,,العشه
district,YE2904,Qaflat Odhar,YE29,,,قفلة عذر
district,YE2905,Shaharah,YE29,,,شهاره
district,YE2906,Al Madan,YE29,,,المدان
district,YE2907,Suwayr,YE29,,,صوير
