list_name,name,label::english,label::arabic,governorate,district,subdistrict,
latrineaccess,latrines_nosewage,Sanitation facilities (latrines/toilets) lack a system/trucks for removing sewage tank,????? ????? ????? (?????/ ????) ????? ??????/ ???? ?????? ????? ?????? ?? ????? ???? ????? ????? ,,,,
latrineaccess,pipes_broken,The sewage pipes are broken,?????? ????? ????? ??????,,,,
latrineaccess,sewage_street,There is sewage in the streets,???? ??????? ???? ?? ?????? ,,,,
latrineaccess,latines_unclean,Sanitation facilities (latrines/toilets) are unclean/unhygienic,????? ????? ????? (?????/ ????) ??? ?????/ ??? ????,,,,
latrineaccess,latines_noprivacy,Sanitation facilities (latrines/toilets) are not private (no locks/door/walls/lighting etc.),"?????? ???????? ?? ????? ????? ????? (?????/ ????) (?? ???? ?????/ ???/ ????? ?????/ ?????/ ???)",,,,
latrineaccess,latrines_nosegreg,Sanitation facilities (latrines/toilets) are not segregated between men and women,????? ????? ????? (?????/ ????) ??? ?????? ??? ?????? ??????? ,,,,
latrineaccess,latrines_toofar,Sanitation facilities (latrines/toilets) are too far,????? ????? ????? (?????/ ????) ????? ??? ,,,,
latrineaccess,latrines_noreach,Sanitation facilities (latrines/toilets) are difficult to reach (especially for people with disabilities),  ????? ????? ????? (?????/ ????) ???? ?????? (?????? ???? ?????????? ??????) ,,,,
latrineaccess,dangerous,Going to the sanitation facilities (latrines/toilets) is dangerous,?????? ?????? ????? ????? (?????/ ????) ????,,,,
latrineaccess,groups_noaccess,"Some groups (children, women, elderly, ethnic minorities, etc.) do not have access to sanitation  facilities (latrines/toilets) ","??? ????????? (?????? ????? ???? ????? ???????? ???????? ???) ?? ?????? ?????? ?????? ????? ????? (?????/ ????)",,,,
latrineaccess,dnk,I don't know,?? ????,,,,
latrineaccess,refuse,Refuse to answer (DO NOT READ),??? ??????? (?? ????),,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
accessgroup,women_girls,Women/girls,????\?????,,,,
accessgroup,men_boys,Men/boys,????\?????,,,,
accessgroup,disabled,People with disabilities,??? ???????,,,,
accessgroup,elderly,Elderly people,???? ????,,,,
accessgroup,minorities,Marginalized people (minorities),????????,,,,
accessgroup,other,Other (please specify):,???? (???? ???????),,,,
accessgroup,dnk,I don't know,?? ????,,,,
accessgroup,refuse,Refuse to answer (DO NOT READ),??? ??????? (?? ????),,,,
,,,,,,,
,,,,,,,
,,,,,,,
treatmethod,settle,Let it stand and settle,????? ????? ,,,,
treatmethod,boil,Boil it,?????,,,,
treatmethod,sunlight,Expose it to sunlight,??????? ????? ,,,,
treatmethod,chlorine,Chlorine (tablets/powder/liquid),??????? ????? ?????? ?? ?????? ?? ??????? ???  ,,,,
treatmethod,hh_filter,Household filter,??????? ???? ?? ????? ??????/ ,,,,
treatmethod,other,Other (please specify):,???? (???? ???????):,,,,
treatmethod,dnk,I don't know,?? ????,,,,
treatmethod,refuse,Refuse to answer (DO NOT READ),??? ??????? (?? ????),,,,
,,,,,,,
,,,,,,,
whynot_treat,water_clean,There is no need as they feel water they collect is clean and does not need to be treated,?? ???? ??????? ?????? ????? ?????? ?? ?????? ???? ???????? ????? ??? ????? ??? ??????,,,,
whynot_treat,lack_materials,They don't have materials for water purification/treatment,??? ????? ???? ??????/ ?????? ?????? ,,,,
whynot_treat,toomuch_time,Treating water takes too much time,?????? ?????? ???? ?????? ?? ?????,,,,
whynot_treat,toomuch_money,Treating water costs too much money,?????? ?????? ???? ?????? ?? ?????,,,,
whynot_treat,no_methods,They don't know any treatment methods,?? ?????? ?? ????? ??????? ??????,,,,
whynot_treat,other,Other (please specify):,???? (???? ???????),,,,
whynot_treat,dnk,I don't know,?? ????,,,,
whynot_treat,refuse,Refuse to answer (DO NOT READ),??? ??????? (?? ????),,,,
,,,,,,,
phonepaper,phone,Mobile phone,???? ?????,,,,
phonepaper,paper,Paper form,????? ????,,,,
,,,,,,,
,,,,,,,
governorate,YE11,Ibb,??,,,,
governorate,YE12,Abyan,????,,,,
governorate,YE13,Sana'a City,????? ???????,,,,
governorate,YE14,Al Bayda,???????,,,,
governorate,YE15,Ta'iz,???,,,,
governorate,YE16,Al Jawf,?????,,,,
governorate,YE17,Hajjah,???,,,,
governorate,YE18,Al Hodeidah,???????,,,,
governorate,YE19,Hadramawt,??????,,,,
governorate,YE20,Dhamar,????,,,,
governorate,YE21,Shabwah,????,,,,
governorate,YE22,Sa'dah,????,,,,
governorate,YE23,Sana'a,?????,,,,
governorate,YE24,Aden,???,,,,
governorate,YE25,Lahj,???,,,,
governorate,YE26,Ma'rib,????,,,,
governorate,YE27,Al Mahwit,???????,,,,
governorate,YE28,Al Maharah,??????,,,,
governorate,YE29,Amran,?????,,,,
governorate,YE30,Ad Dali',??????,,,,
governorate,YE31,Raymah,????,,,,
governorate,YE32,Socotra,?????,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
